feature,coef,se,boot_mean,ci_lower_99,ci_upper_99,ci_lower_95,ci_upper_95,ci_lower_90,ci_upper_90,pvalue,stars,sig_99,sig_95,sig_90,asset
r_btc_lag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_gold_lag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_spx_lag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_btc_lag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_gold_lag2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_spx_lag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_btc_lag3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_gold_lag3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_spx_lag3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_eurusd_xlag0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,,False,False,False,r_btc
dln_usdcny_xlag0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,,False,False,False,r_btc
dln_oil_xlag0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dy10_xlag0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_eurusd_xlag1,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,,False,False,False,r_btc
dln_usdcny_xlag1,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_oil_xlag1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0,,False,False,False,r_btc
dy10_xlag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_eurusd_xlag2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_usdcny_xlag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dln_oil_xlag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
dy10_xlag2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
epi_signed_topicweighted_xlag0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
epi_signed_topicweighted_xlag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
epi_signed_topicweighted_xlag2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
epi_signed_topicweighted_xlag3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
epi_signed_topicweighted_xlag4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,False,False,False,r_btc
r_btc_lag1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,,False,False,False,r_gold
